Id,Designator,Package,Quantity,Designation,Supplier and ref
2,"R5,R6,R15,R16",R_0805_HandSoldering,4,470,
5,U1,SOT-223,1,AMS1117-3.3,
9,"R1,R4,R8,R9,R10,R11,R12,R13",R_0805_HandSoldering,8,22,
10,R17,R_0805_HandSoldering,1,1k5,
11,"C2,C3,C9",C_0805_HandSoldering,3,0.1u,
12,"C4,C5",C_0805_HandSoldering,2,27p,
13,"R7,R19",R_0805_HandSoldering,2,10k,
14,R18,R_0805_HandSoldering,1,4K7,
15,"C1,C7",C_1210_HandSoldering,2,10u,
17,P1,USB_Mini-B_HandSoldering,1,USB_OTG,
18,U2,LQFP-48_7x7mm_Pitch0.5mm_HandSoldering,1,STM32F103CB,
